datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-17 09:24:50.459113,0.200629999999,0.0,0.0,0,0,0.24,0.95,0.29,3.72,-2.20,-0.18,13.48,14.65,-30.47,31.64
2019-12-17 09:24:50.464130,0.205650999997,0.0,0.0,1,0,0.24,0.95,0.29,3.72,-2.20,-0.18,13.48,14.65,-30.47,31.64
2019-12-17 09:24:50.566324,0.307949000002,0.0,0.0,0,0,0.25,0.97,0.26,1.22,-1.53,0.18,13.18,14.94,-29.59,31.73
2019-12-17 09:24:50.670048,0.411572999998,0.0,0.0,0,0,0.25,0.96,0.27,3.23,-0.85,0.55,14.36,14.36,-29.88,31.45
2019-12-17 09:24:50.774047,0.515567000002,0.0,0.0,0,0,0.25,0.96,0.27,1.28,-0.67,0.12,12.74,15.67,-30.91,31.73
2019-12-17 09:24:50.862999,0.604510999998,0.0,0.0,1,0,0.25,0.96,0.27,1.28,-0.67,0.12,12.74,15.67,-30.91,31.73
2019-12-17 09:24:50.878527,0.620049999998,0.0,0.0,0,0,0.25,0.96,0.27,-0.18,-0.98,-0.18,12.89,15.82,-29.59,31.73
2019-12-17 09:24:50.963467,0.704981000003,0.0,0.0,1,0,0.25,0.96,0.27,-0.18,-0.98,-0.18,12.89,15.82,-29.59,31.73
2019-12-17 09:24:50.982168,0.723676000001,0.0,0.0,0,0,0.25,0.96,0.27,-2.32,-0.31,0.00,13.18,14.65,-30.18,31.54
2019-12-17 09:24:51.093517,0.835024,0.0,0.0,0,0,0.26,0.95,0.28,0.49,-1.34,-0.55,13.33,15.09,-30.03,31.59
2019-12-17 09:24:51.198401,0.939912000002,0.0,0.0,0,0,0.24,0.95,0.26,-5.86,0.85,-0.49,14.21,14.79,-29.44,31.64
2019-12-17 09:24:51.288363,1.029874,0.0,0.0,0,0,0.24,0.95,0.28,1.83,-0.61,0.31,13.92,14.50,-30.62,31.45
2019-12-17 09:24:51.363141,1.104656,0.0,0.0,1,0,0.24,0.95,0.28,1.83,-0.61,0.31,13.92,14.50,-30.62,31.45
2019-12-17 09:24:51.406142,1.147659,0.0,0.0,0,0,0.25,0.95,0.29,1.95,-1.46,0.61,15.09,15.09,-29.74,31.59
2019-12-17 09:24:51.463713,1.205232,0.0,0.0,1,0,0.25,0.95,0.29,1.95,-1.46,0.61,15.09,15.09,-29.74,31.59
2019-12-17 09:24:51.509668,1.251176,0.0,0.0,0,0,0.25,0.95,0.28,-0.79,-1.65,0.06,14.79,15.38,-30.91,31.45
2019-12-17 09:24:51.613680,1.35519,0.0,0.0,0,0,0.24,0.96,0.28,1.65,-0.43,0.06,13.04,14.79,-30.03,31.45
2019-12-17 09:24:51.717574,1.45912,0.0,0.0,0,0,0.25,0.96,0.28,1.22,-0.92,-0.12,13.62,15.09,-30.62,31.73
2019-12-17 09:24:51.821270,1.562801,0.0,0.0,0,0,0.25,0.96,0.29,0.18,-1.16,0.18,13.33,14.79,-30.91,31.83
2019-12-17 09:24:51.863727,1.605247,0.0,0.0,1,0,0.25,0.96,0.29,0.18,-1.16,0.18,13.33,14.79,-30.91,31.83
2019-12-17 09:24:51.925234,1.666776,0.0,0.0,0,0,0.24,0.96,0.27,0.31,-0.79,-0.12,13.62,15.09,-29.74,31.78
2019-12-17 09:24:51.964272,1.705811,0.0,0.0,1,0,0.24,0.96,0.27,0.31,-0.79,-0.12,13.62,15.09,-29.74,31.78
2019-12-17 09:24:52.028557,1.770072,0.0,0.0,0,0,0.25,0.95,0.27,2.14,-1.04,0.18,14.21,15.38,-28.86,31.54
2019-12-17 09:24:52.132627,1.874179,0.0,0.0,0,0,0.25,0.95,0.27,1.22,-1.10,0.24,14.50,15.67,-29.15,31.73
2019-12-17 09:24:52.236226,1.977736,0.0,0.0,0,0,0.24,0.96,0.28,0.85,-0.92,0.49,13.18,15.23,-30.76,31.73
2019-12-17 09:24:52.349563,2.091069,0.0,0.0,0,0,0.25,0.96,0.28,1.34,-0.49,0.31,13.92,15.97,-29.15,31.73
2019-12-17 09:24:52.363006,2.104518,0.0,0.0,1,0,0.25,0.96,0.28,1.34,-0.49,0.31,13.92,15.97,-29.15,31.73
2019-12-17 09:24:52.453597,2.195119,0.0,0.0,0,0,0.25,0.95,0.27,1.28,-0.55,-0.18,13.33,15.38,-30.03,31.73
2019-12-17 09:24:52.463316,2.204824,0.0,0.0,1,0,0.25,0.95,0.27,1.28,-0.55,-0.18,13.33,15.38,-30.03,31.73
2019-12-17 09:24:52.557847,2.299363,0.0,0.0,0,0,0.25,0.96,0.28,1.34,-0.98,0.49,13.48,15.82,-29.00,31.83
2019-12-17 09:24:52.656438,2.397953,0.0,0.0,0,0,0.25,0.96,0.28,0.85,-1.04,0.12,13.48,14.94,-30.47,31.64
2019-12-17 09:24:52.759829,2.501349,0.0,0.0,0,0,0.24,0.96,0.27,0.18,-0.73,0.12,12.74,15.38,-29.15,31.83
