datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-12 19:20:04.238623,0.264385999995,0.0,0.0,0,0,0.02,0.02,1.02,0.98,-1.46,-0.12,7.32,59.18,-118.65,30.87
2019-12-12 19:20:04.341667,0.367438000001,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.28,0.00,6.30,58.74,-117.92,31.06
2019-12-12 19:20:04.445055,0.470820999995,0.0,0.0,0,0,0.02,0.02,1.02,0.98,-1.34,-0.06,6.59,59.62,-119.68,30.92
2019-12-12 19:20:04.548877,0.574645000001,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.40,0.00,6.45,59.77,-120.12,30.87
2019-12-12 19:20:04.653122,0.678887999995,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.16,0.00,6.59,58.74,-118.80,30.92
2019-12-12 19:20:04.756098,0.78186399999,0.0,0.0,0,0,0.02,0.02,1.03,1.10,-1.16,0.00,6.15,58.59,-119.24,30.87
2019-12-12 19:20:04.861269,0.887036,0.0,0.0,0,0,0.02,0.02,1.02,0.79,-1.46,0.06,6.01,58.74,-119.09,31.06
2019-12-12 19:20:04.966138,0.991903999995,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.16,-0.06,6.15,58.89,-118.95,31.06
2019-12-12 19:20:05.066364,1.09217599999,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.04,0.06,6.15,60.64,-119.82,30.92
2019-12-12 19:20:05.170254,1.19602399999,0.0,0.0,0,0,0.04,0.03,1.04,1.28,-1.34,32.29,7.03,58.01,-119.24,31.21
2019-12-12 19:20:05.273858,1.29965,0.0,0.0,0,0,-0.02,-0.10,1.04,0.43,-1.65,51.33,7.47,60.79,-120.26,31.21
2019-12-12 19:20:05.377376,1.403144,0.0,0.0,0,0,0.05,0.02,1.03,1.46,-1.46,14.89,2.93,67.68,-127.15,31.11
2019-12-12 19:20:05.481496,1.50726499999,0.0,0.0,0,0,0.02,0.00,1.03,1.34,-0.98,28.38,-2.49,73.39,-129.35,30.92
2019-12-12 19:20:05.588764,1.614531,0.0,0.0,0,0,0.03,0.06,1.02,1.04,-0.79,13.31,-2.78,74.56,-128.76,31.06
2019-12-12 19:20:05.692339,1.71810499999,0.0,0.0,0,0,0.00,-0.04,1.03,0.92,1.77,17.52,-1.76,73.54,-128.32,30.92
2019-12-12 19:20:05.796162,1.82193199999,0.0,0.0,0,0,0.02,0.02,1.03,0.79,-1.46,0.06,-1.32,74.56,-127.88,31.21
2019-12-12 19:20:05.900044,1.92581,0.0,0.0,0,0,0.02,0.03,1.03,1.28,-0.73,4.82,-0.59,75.29,-127.73,30.87
2019-12-12 19:20:06.005159,2.03093899999,0.0,0.0,0,0,0.02,0.02,1.03,1.10,-1.10,5.31,0.15,75.15,-126.42,30.92
2019-12-12 19:20:06.110271,2.136002,0.0,0.0,0,0,-0.03,0.10,1.28,39.79,9.77,-14.34,-1.90,73.39,-127.59,30.92
2019-12-12 19:20:06.239988,2.265753,0.0,0.0,0,0,0.02,0.03,0.94,19.53,-41.02,-5.98,-55.96,92.87,-53.03,30.78
2019-12-12 19:20:06.333885,2.359679,0.0,0.0,0,0,0.06,0.12,0.81,-17.15,-8.79,4.52,-49.22,81.45,20.21,30.92
2019-12-12 19:20:06.437631,2.463399,0.0,0.0,0,0,0.12,0.04,0.99,-13.79,2.99,4.94,-41.02,73.83,21.39,30.87
2019-12-12 19:20:06.541516,2.56728399999,0.0,0.0,0,0,0.04,0.16,1.10,8.61,0.43,-1.04,-43.36,74.12,19.63,31.02
2019-12-12 19:20:06.645172,2.67094,0.0,0.0,0,0,0.08,0.10,1.01,-7.75,-3.91,-1.34,-42.77,72.95,20.51,31.11
2019-12-12 19:20:06.750301,2.776065,0.0,0.0,0,0,0.24,0.11,0.80,-15.32,-1.10,11.60,-51.27,77.34,16.11,31.02
2019-12-12 19:20:06.879006,2.90477199999,0.0,0.0,0,0,0.04,-0.15,1.21,-35.16,13.31,-2.81,-62.55,94.19,-61.38,31.11
2019-12-12 19:20:06.982953,3.008745,0.0,0.0,0,0,-0.09,0.12,1.08,7.32,3.30,-5.98,-21.39,76.46,-132.71,31.06
2019-12-12 19:20:07.088787,3.11451699999,0.0,0.0,0,0,0.01,0.05,0.99,-5.43,-0.37,4.52,-17.14,73.68,-137.55,31.06
2019-12-12 19:20:07.193777,3.219543,0.0,0.0,0,0,0.00,0.02,0.99,0.98,-1.34,-2.20,-15.09,75.44,-133.74,30.87
2019-12-12 19:20:07.297736,3.32350499999,0.0,0.0,0,0,0.02,0.01,1.02,1.65,-2.87,0.49,-13.92,75.44,-134.62,31.02
2019-12-12 19:20:07.401210,3.426977,0.0,0.0,0,0,0.08,0.08,1.38,0.24,-1.65,8.54,-15.38,74.85,-129.64,31.02
2019-12-12 19:20:07.505297,3.53105999999,0.0,0.0,0,0,-0.02,0.04,1.00,5.92,-36.32,7.75,-73.24,100.78,-41.89,31.21
2019-12-12 19:20:07.608793,3.63455999999,0.0,0.0,0,0,0.09,0.00,0.85,-0.12,-13.49,9.28,-49.51,76.76,25.78,30.78
2019-12-12 19:20:07.717069,3.742839,0.0,0.0,0,0,0.15,-0.04,0.94,-6.65,-6.71,8.42,-36.47,66.65,27.69,31.02
2019-12-12 19:20:07.820119,3.845886,0.0,0.0,0,0,0.13,-0.00,1.01,-1.59,-1.59,-0.31,-33.69,65.92,26.95,30.92
2019-12-12 19:20:07.923912,3.94971,0.0,0.0,0,0,0.11,-0.01,0.92,-1.89,3.05,-3.17,-35.01,66.06,25.93,30.92
2019-12-12 19:20:08.052557,4.07832499999,0.0,0.0,0,0,0.10,-0.03,0.82,-1.16,20.14,-7.51,-49.07,77.49,14.21,31.02
2019-12-12 19:20:08.157488,4.18325399999,0.0,0.0,0,0,-0.00,0.10,1.27,15.32,30.21,-7.20,-56.69,94.48,-62.84,31.21
2019-12-12 19:20:08.261442,4.287207,0.0,0.0,0,0,0.02,-0.02,1.11,8.54,8.18,-5.31,-23.88,81.01,-113.53,30.92
2019-12-12 19:20:08.365187,4.390952,0.0,0.0,0,0,0.01,0.03,1.04,-5.37,-2.75,2.32,-9.52,74.56,-122.02,31.21
2019-12-12 19:20:08.471270,4.49706199999,0.0,0.0,0,0,0.03,-0.01,1.01,0.67,-0.06,0.43,-6.59,73.68,-117.04,31.21
2019-12-12 19:20:08.576471,4.602235,0.0,0.0,0,0,0.06,-0.01,1.24,3.05,-3.78,3.78,-6.15,73.54,-112.79,31.11
2019-12-12 19:20:08.680018,4.705779,0.0,0.0,0,0,0.03,0.04,1.07,14.89,-42.42,6.59,-57.57,97.12,-50.54,31.11
2019-12-12 19:20:08.784225,4.809991,0.0,0.0,0,0,0.13,-0.00,0.82,-2.62,-25.15,11.84,-40.28,77.49,23.58,31.02
2019-12-12 19:20:08.887580,4.91334899999,0.0,0.0,0,0,0.18,-0.02,0.92,0.61,-4.39,6.53,-24.17,63.72,29.74,31.06
2019-12-12 19:20:08.999296,5.025069,0.0,0.0,0,0,0.17,-0.02,0.96,-3.30,-0.49,2.69,-20.95,60.21,27.69,30.92
2019-12-12 19:20:09.103331,5.12911899999,0.0,0.0,0,0,0.17,-0.03,1.01,-0.06,-1.89,-0.55,-20.95,61.08,28.27,30.92
2019-12-12 19:20:09.207913,5.233679,0.0,0.0,0,0,0.14,-0.01,0.88,2.14,5.92,-2.69,-22.85,61.52,28.42,31.21
2019-12-12 19:20:09.336467,5.36225199999,0.0,0.0,0,0,0.13,-0.03,0.76,-14.89,46.63,-9.58,-36.18,75.73,12.74,30.92
2019-12-12 19:20:09.440686,5.46645599999,0.0,0.0,0,0,0.03,0.09,1.26,12.33,18.07,-5.86,-39.40,90.38,-63.43,31.02
2019-12-12 19:20:09.544844,5.57062699999,0.0,0.0,0,0,-0.00,0.00,1.09,-1.22,3.91,-1.10,-18.16,84.67,-109.57,31.06
2019-12-12 19:20:09.649201,5.67496799999,0.0,0.0,0,0,-0.01,0.03,1.03,-1.59,-4.15,2.26,-14.94,84.67,-112.79,31.11
2019-12-12 19:20:09.752628,5.77839399999,0.0,0.0,0,0,0.01,0.02,1.01,0.85,0.00,1.83,-15.23,83.79,-107.52,31.02
2019-12-12 19:20:09.856528,5.88229499999,0.0,0.0,0,0,0.03,-0.01,1.24,-5.62,-12.02,5.86,-10.25,79.10,-100.78,30.92
2019-12-12 19:20:09.960108,5.98587199999,0.0,0.0,0,0,0.05,0.01,1.13,6.35,-42.11,1.95,-46.00,97.27,-38.96,31.02
2019-12-12 19:20:10.089193,6.11495399999,0.0,0.0,0,0,0.08,0.01,0.79,-3.17,-22.77,5.07,-36.33,79.39,24.61,31.02
2019-12-12 19:20:10.191987,6.21772099999,0.0,0.0,0,0,0.15,-0.02,0.90,-5.74,-3.91,5.43,-26.66,67.68,29.00,30.87
2019-12-12 19:20:10.295290,6.321052,0.0,0.0,0,0,0.13,-0.04,1.00,-0.43,-1.59,-1.53,-26.51,66.94,27.10,31.21
2019-12-12 19:20:10.399829,6.425596,0.0,0.0,0,0,0.11,-0.00,0.97,-0.06,-0.06,-1.40,-29.15,69.29,26.51,31.06
2019-12-12 19:20:10.503350,6.529117,0.0,0.0,0,0,0.10,-0.01,0.74,-5.07,17.88,-5.49,-36.47,77.20,21.53,31.11
2019-12-12 19:20:10.606580,6.632352,0.0,0.0,0,0,0.03,-0.01,1.28,-6.35,25.02,3.17,-45.56,94.48,-42.63,31.21
2019-12-12 19:20:10.710157,6.735925,0.0,0.0,0,0,-0.01,0.04,1.13,7.02,3.91,-1.10,-12.60,81.15,-102.54,30.92
2019-12-12 19:20:10.813646,6.83941299999,0.0,0.0,0,0,0.02,-0.01,1.06,3.60,1.53,0.24,2.93,74.41,-111.04,30.92
2019-12-12 19:20:10.917791,6.943558,0.0,0.0,0,0,0.01,-0.01,0.98,2.01,0.18,-0.73,0.00,72.95,-102.25,31.02
2019-12-12 19:20:11.023156,7.04892599999,0.0,0.0,0,0,0.05,-0.03,1.12,-4.33,-1.95,2.26,4.39,71.19,-96.68,31.11
2019-12-12 19:20:11.151526,7.17729399999,0.0,0.0,0,0,0.04,0.01,1.17,3.78,-25.21,1.46,-21.97,82.62,-75.29,31.11
2019-12-12 19:20:11.255746,7.28152399999,0.0,0.0,0,0,0.06,0.03,1.05,3.17,-32.23,3.05,-44.68,91.85,-9.81,31.06
2019-12-12 19:20:11.359224,7.38499199999,0.0,0.0,0,0,0.10,-0.00,0.90,5.80,-19.71,-0.85,-28.86,68.99,27.98,31.11
2019-12-12 19:20:11.462852,7.488621,0.0,0.0,0,0,0.15,0.01,0.89,-1.65,-4.82,0.67,-20.21,59.18,29.88,31.06
2019-12-12 19:20:11.567409,7.593175,0.0,0.0,0,0,0.19,-0.04,0.99,0.00,6.23,-4.82,-21.97,59.77,28.12,31.02
2019-12-12 19:20:11.671680,7.697447,0.0,0.0,0,0,0.12,0.00,0.98,-0.61,14.65,-2.75,-27.25,67.97,25.49,31.06
2019-12-12 19:20:11.775359,7.80112199999,0.0,0.0,0,0,0.09,-0.01,0.98,-0.98,19.65,-5.55,-38.09,81.45,9.08,31.06
2019-12-12 19:20:11.878881,7.90464699999,0.0,0.0,0,0,0.03,-0.13,1.04,1.59,13.55,-0.43,-46.44,91.55,-22.71,31.11
2019-12-12 19:20:11.982531,8.00834599999,0.0,0.0,0,0,0.06,0.02,1.10,0.55,15.32,0.55,-35.30,88.33,-64.01,31.11
2019-12-12 19:20:12.086505,8.11227299999,0.0,0.0,0,0,0.04,0.01,1.10,-4.27,7.51,1.71,-3.66,71.92,-93.60,31.11
2019-12-12 19:20:12.191594,8.21736,0.0,0.0,0,0,0.01,-0.10,1.05,-22.40,1.53,8.73,12.74,63.72,-100.63,31.30
2019-12-12 19:20:12.297527,8.323294,0.0,0.0,0,0,0.02,0.02,1.08,4.21,-30.21,0.18,-26.07,83.50,-72.95,31.11
2019-12-12 19:20:12.401424,8.42720199999,0.0,0.0,0,0,0.08,0.01,1.01,-8.54,-27.40,5.62,-48.05,90.53,-12.01,31.11
2019-12-12 19:20:12.530660,8.55642499999,0.0,0.0,0,0,0.15,-0.01,1.00,8.73,-29.30,4.15,-35.01,71.04,25.93,31.21
2019-12-12 19:20:12.633839,8.65960499999,0.0,0.0,0,0,0.18,-0.03,0.87,9.40,-14.28,4.39,-18.75,54.79,34.57,31.06
2019-12-12 19:20:12.737594,8.763364,0.0,0.0,0,0,0.18,-0.04,0.80,-2.38,10.31,-2.99,-16.11,50.98,31.93,31.21
2019-12-12 19:20:12.838172,8.86394099999,0.0,0.0,0,0,0.15,0.00,1.03,5.62,17.46,-5.80,-26.95,60.64,29.30,31.02
2019-12-12 19:20:12.941453,8.96724099999,0.0,0.0,0,0,0.10,-0.01,1.04,1.59,11.29,-2.69,-37.06,73.10,17.72,31.06
2019-12-12 19:20:13.045517,9.071285,0.0,0.0,0,0,0.10,0.01,1.07,-4.52,11.54,1.22,-45.12,82.62,-6.15,31.11
2019-12-12 19:20:13.149220,9.174988,0.0,0.0,0,0,0.06,0.01,1.04,2.38,9.70,0.43,-39.70,85.11,-37.65,31.21
2019-12-12 19:20:13.252786,9.27855399999,0.0,0.0,0,0,0.04,0.01,1.05,5.86,9.83,-2.62,-21.68,76.46,-66.50,31.21
2019-12-12 19:20:13.359117,9.384897,0.0,0.0,0,0,0.04,-0.00,1.20,2.01,5.25,5.43,9.23,64.01,-83.06,31.02
2019-12-12 19:20:13.463016,9.488814,0.0,0.0,0,0,0.04,0.02,1.12,15.32,-28.02,-1.83,-14.65,70.90,-73.24,31.06
2019-12-12 19:20:13.570323,9.596137,0.0,0.0,0,0,0.08,0.04,1.01,-0.55,-20.20,1.65,-40.87,82.18,-24.46,31.21
2019-12-12 19:20:13.674197,9.69996499999,0.0,0.0,0,0,0.13,0.04,1.05,0.67,-21.79,5.86,-36.47,72.22,11.28,31.11
2019-12-12 19:20:13.777769,9.80353599999,0.0,0.0,0,0,0.19,0.00,0.97,17.82,-15.20,8.79,-23.14,58.30,24.02,31.02
2019-12-12 19:20:13.906552,9.932321,0.0,0.0,0,0,0.24,0.00,0.86,15.08,-8.42,-0.12,-14.21,49.07,25.93,31.21
