datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-12 19:13:58.125307,0.239212999993,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.46,0.18,6.45,62.40,-122.17,30.25\r\n
2019-12-12 19:13:58.233963,0.347897,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.71,-0.06,9.08,60.64,-123.63,30.49\r\n
2019-12-12 19:13:58.338040,0.451956999997,0.0,0.0,0,0,0.02,0.02,1.03,1.22,-1.53,0.06,7.91,62.11,-122.75,30.39\r\n
2019-12-12 19:13:58.459572,0.573481999993,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.16,0.18,7.47,61.67,-122.31,30.25\r\n
2019-12-12 19:13:58.535975,0.649848000001,0.0,0.0,0,0,0.02,0.02,1.03,1.10,-1.34,0.06,7.62,60.64,-122.46,30.15\r\n
2019-12-12 19:13:58.639337,0.753203,0.0,0.0,0,0,0.02,0.02,1.03,0.98,-1.34,0.06,6.74,61.23,-122.46,30.39\r\n
2019-12-12 19:13:58.744505,0.858389000001,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.22,0.18,7.91,61.23,-122.17,30.54\r\n
2019-12-12 19:13:58.849473,0.963361999995,0.0,0.0,0,0,0.02,0.02,1.03,1.22,-1.22,0.06,7.62,60.94,-122.17,30.34\r\n
2019-12-12 19:13:58.953796,1.067721,0.0,0.0,0,0,0.02,0.02,1.03,1.10,-1.71,-0.06,8.06,60.50,-121.73,30.54\r\n
2019-12-12 19:13:59.056718,1.17063199999,0.0,0.0,0,0,0.02,0.02,1.03,0.98,-1.22,0.18,7.76,61.38,-122.02,30.20\r\n
2019-12-12 19:13:59.160468,1.274393,0.0,0.0,0,0,0.02,0.02,1.03,1.16,-1.28,-0.06,7.91,61.52,-121.87,30.54\r\n
2019-12-12 19:13:59.264247,1.37815799999,0.0,0.0,0,0,0.02,0.03,1.03,1.10,-1.16,0.12,8.20,61.82,-122.17,30.39\r\n
2019-12-12 19:13:59.374370,1.488318,0.0,0.0,0,0,0.03,0.02,1.03,0.98,-0.98,0.18,8.06,59.62,-122.61,30.34\r\n
2019-12-12 19:13:59.491987,1.6059,0.0,0.0,0,0,0.03,0.02,1.03,1.10,-1.40,0.00,7.32,61.82,-122.46,30.39\r\n
2019-12-12 19:13:59.571870,1.68575399999,0.0,0.0,0,0,0.03,0.02,1.02,0.98,-1.46,0.18,7.91,62.11,-123.05,30.39\r\n
2019-12-12 19:13:59.703188,1.81709499999,0.0,0.0,0,0,0.02,0.02,1.02,1.10,-1.28,0.24,7.18,61.08,-122.61,30.25\r\n
2019-12-12 19:13:59.785479,1.89934599999,0.0,0.0,0,0,0.02,0.02,1.03,0.92,-1.22,0.00,8.50,62.40,-120.70,30.25\r\n
2019-12-12 19:13:59.891494,2.00536699999,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.34,-0.06,9.23,61.38,-121.44,30.49\r\n
2019-12-12 19:13:59.998605,2.11248299999,0.0,0.0,0,0,0.03,0.02,1.02,0.85,-1.46,-0.24,8.35,60.79,-123.19,30.54\r\n
2019-12-12 19:14:00.106115,2.220011,0.0,0.0,0,0,0.02,0.02,1.03,1.04,-1.34,0.31,7.32,60.64,-122.46,30.39\r\n
2019-12-12 19:14:00.212579,2.32651699999,0.0,0.0,0,0,0.03,0.02,1.03,1.04,-0.98,0.31,7.91,61.82,-122.75,30.39\r\n
2019-12-12 19:14:00.312318,2.42623499999,0.0,0.0,0,0,0.02,0.02,1.03,0.85,-1.28,0.12,8.35,60.50,-122.90,30.25\r\n
2019-12-12 19:14:00.417215,2.53115899999,0.0,0.0,0,0,0.03,0.02,1.03,1.10,-1.34,0.24,7.18,62.84,-122.31,30.68\r\n
