datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-19 14:15:52.549384,0.470529000006,0.0,0.0,1,0,,,,,,,,,,
2019-12-19 14:15:53.049507,0.970662,0.0,0.0,1,0,,,,,,,,,,
2019-12-19 14:15:53.549551,1.470708,0.0,0.0,1,0,,,,,,,,,,
2019-12-19 14:15:53.887050,1.808204,0.0,0.0,0,0,0.01,-0.30,-0.93,0.55,-1.04,0.06,6.15,58.30,-31.05,32.31
2019-12-19 14:15:53.982047,1.903208,0.0,0.0,0,0,0.02,-0.30,-0.93,0.92,-1.04,0.06,5.57,57.13,-31.64,32.65
2019-12-19 14:15:54.049573,1.97072,0.0,0.0,1,0,0.02,-0.30,-0.93,0.92,-1.04,0.06,5.57,57.13,-31.64,32.65
2019-12-19 14:15:54.091816,2.012981,0.0,0.0,0,0,0.01,-0.30,-0.93,0.61,-1.28,0.18,5.42,58.74,-30.32,32.45
2019-12-19 14:15:54.190595,2.111753,0.0,0.0,0,0,0.01,-0.31,-0.93,0.98,-1.16,0.24,5.27,58.59,-31.35,32.50
2019-12-19 14:15:54.294372,2.21552200001,0.0,0.0,0,0,0.01,-0.30,-0.94,1.16,-0.85,0.31,5.42,59.62,-30.91,32.45
2019-12-19 14:15:54.406673,2.32783,0.0,0.0,0,0,0.01,-0.30,-0.93,0.24,-0.92,0.06,6.88,58.45,-30.91,32.36
2019-12-19 14:15:54.538071,2.459221,0.0,0.0,0,0,0.01,-0.30,-0.93,0.85,-0.98,0.06,6.15,59.18,-31.35,32.26
2019-12-19 14:15:54.549497,2.470647,0.0,0.0,1,0,0.01,-0.30,-0.93,0.85,-0.98,0.06,6.15,59.18,-31.35,32.26
2019-12-19 14:15:54.633721,2.554882,0.0,0.0,0,0,0.01,-0.30,-0.93,0.98,-0.85,0.37,6.01,58.45,-30.62,32.45
2019-12-19 14:15:54.712423,2.633584,0.0,0.0,0,0,0.02,-0.31,-0.93,0.73,-1.04,-0.12,7.32,57.71,-30.76,32.45
2019-12-19 14:15:54.818670,2.739834,0.0,0.0,0,0,0.02,-0.31,-0.93,1.10,-1.04,0.24,4.54,59.03,-30.91,32.45
2019-12-19 14:15:54.928373,2.849579,0.0,0.0,0,0,0.02,-0.30,-0.93,1.16,-0.92,0.18,7.03,58.30,-31.64,32.36
2019-12-19 14:15:55.032371,2.95357000001,0.0,0.0,0,0,0.02,-0.30,-0.93,0.67,-0.92,0.18,6.01,57.86,-33.25,32.45
2019-12-19 14:15:55.049923,2.97111000001,0.0,0.0,1,0,0.02,-0.30,-0.93,0.67,-0.92,0.18,6.01,57.86,-33.25,32.45
2019-12-19 14:15:55.137002,3.05817500001,0.0,0.0,0,0,0.01,-0.30,-0.93,1.04,-1.10,0.12,5.86,58.89,-31.05,32.65
2019-12-19 14:15:55.254335,3.17555,0.0,0.0,0,0,0.01,-0.30,-0.93,1.04,-1.10,0.31,5.42,58.74,-30.62,32.45
2019-12-19 14:15:55.356628,3.277809,0.0,0.0,0,0,0.01,-0.30,-0.93,0.31,-0.79,0.18,6.15,58.30,-31.05,32.31
2019-12-19 14:15:55.469841,3.391021,0.0,0.0,0,0,0.01,-0.30,-0.93,1.22,-1.28,0.31,5.27,58.59,-31.35,32.31
2019-12-19 14:15:55.550349,3.471527,0.0,0.0,1,0,0.01,-0.30,-0.93,1.22,-1.28,0.31,5.27,58.59,-31.35,32.31
2019-12-19 14:15:55.572650,3.493829,0.0,0.0,0,0,0.01,-0.30,-0.94,1.28,-1.10,0.06,6.01,57.86,-30.62,32.65
2019-12-19 14:15:55.656251,3.57749600001,0.0,0.0,0,0,0.01,-0.31,-0.93,0.55,-0.92,0.06,7.03,58.89,-31.35,32.31
2019-12-19 14:15:55.759318,3.680515,0.0,0.0,0,0,0.02,-0.30,-0.93,0.73,-0.85,0.24,6.30,58.15,-31.79,32.31
2019-12-19 14:15:55.881813,3.803012,0.0,0.0,0,0,0.02,-0.30,-0.93,0.85,-1.04,0.06,6.15,58.30,-30.47,32.31
2019-12-19 14:15:55.985315,3.906494,0.0,0.0,0,0,0.02,-0.30,-0.93,0.67,-0.85,0.24,5.71,57.86,-31.49,32.50
2019-12-19 14:15:56.050385,3.971557,0.0,0.0,1,0,0.02,-0.30,-0.93,0.67,-0.85,0.24,5.71,57.86,-31.49,32.50
2019-12-19 14:15:56.090142,4.01132300001,0.0,0.0,0,0,0.02,-0.30,-0.93,1.10,-1.16,0.18,5.42,58.15,-30.91,32.45
2019-12-19 14:15:56.198876,4.120055,0.0,0.0,0,0,0.01,-0.30,-0.93,1.34,-0.92,0.37,5.42,57.86,-32.08,32.69
2019-12-19 14:15:56.303146,4.224327,0.0,0.0,0,0,0.01,-0.30,-0.93,0.92,-1.16,0.18,5.42,58.74,-30.91,32.45
2019-12-19 14:15:56.407526,4.32870100001,0.0,0.0,0,0,0.01,-0.30,-0.93,0.85,-0.92,0.37,6.30,57.86,-31.20,32.45
2019-12-19 14:15:56.512558,4.433737,0.0,0.0,0,0,0.01,-0.30,-0.93,0.55,-0.98,0.43,5.86,59.18,-30.47,32.65
2019-12-19 14:15:56.550415,4.471589,0.0,0.0,1,0,0.01,-0.30,-0.93,0.55,-0.98,0.43,5.86,59.18,-30.47,32.65
2019-12-19 14:15:56.620282,4.541495,0.0,0.0,0,0,0.01,-0.31,-0.93,1.22,-1.22,0.18,5.57,57.71,-31.05,32.36
2019-12-19 14:15:56.751090,4.672291,0.0,0.0,0,0,0.01,-0.30,-0.93,0.92,-1.04,0.24,5.86,59.47,-30.18,32.79
2019-12-19 14:15:56.830485,4.751677,0.0,0.0,0,0,0.02,-0.30,-0.94,0.85,-0.85,-0.06,5.57,58.89,-31.64,32.45
2019-12-19 14:15:56.934297,4.855472,0.0,0.0,0,0,0.01,-0.30,-0.93,0.79,-0.98,0.00,5.42,59.33,-32.67,32.31
2019-12-19 14:15:57.039050,4.96023400001,0.0,0.0,0,0,0.01,-0.30,-0.93,0.85,-0.67,-0.06,6.15,57.71,-30.47,32.36
2019-12-19 14:15:57.050286,4.971485,0.0,0.0,1,0,0.01,-0.30,-0.93,0.85,-0.67,-0.06,6.15,57.71,-30.47,32.36
2019-12-19 14:15:57.147348,5.068551,0.0,0.0,0,0,0.01,-0.30,-0.94,0.73,-1.04,0.18,5.71,58.45,-32.08,32.45
2019-12-19 14:15:57.253204,5.17440600001,0.0,0.0,0,0,0.02,-0.30,-0.94,0.73,-0.92,0.43,6.30,58.15,-32.08,32.31
2019-12-19 14:15:57.359174,5.280358,0.0,0.0,0,0,0.01,-0.30,-0.93,0.85,-1.04,0.31,7.62,58.59,-30.76,32.12
2019-12-19 14:15:57.469146,5.390355,0.0,0.0,0,0,0.01,-0.31,-0.93,0.79,-1.04,-0.12,6.59,58.15,-31.79,32.31
2019-12-19 14:15:57.550861,5.472084,0.0,0.0,1,0,0.01,-0.31,-0.93,0.79,-1.04,-0.12,6.59,58.15,-31.79,32.31
2019-12-19 14:15:57.573380,5.49464200001,0.0,0.0,0,0,0.01,-0.30,-0.93,1.22,-0.98,0.12,6.45,58.59,-31.93,32.17
2019-12-19 14:15:57.676517,5.59770100001,0.0,0.0,0,0,0.01,-0.30,-0.93,0.92,-1.10,0.18,6.45,58.89,-30.76,32.36
2019-12-19 14:15:57.786417,5.707601,0.0,0.0,0,0,0.02,-0.30,-0.93,0.92,-0.92,0.18,5.57,58.30,-32.23,32.31
2019-12-19 14:15:57.886852,5.80802500001,0.0,0.0,0,0,0.01,-0.30,-0.93,0.85,-1.10,0.24,5.27,59.18,-30.47,32.31
2019-12-19 14:15:57.990932,5.912114,0.0,0.0,0,0,0.02,-0.30,-0.93,1.16,-0.79,0.00,5.71,59.62,-31.20,32.31
2019-12-19 14:15:58.049963,5.97114,0.0,0.0,1,0,0.02,-0.30,-0.93,1.16,-0.79,0.00,5.71,59.62,-31.20,32.31
