datetime,second,joy_x,joy_z,tempo,bgm_start
2019-11-12 17:48:01.571218,0.205992999996,0.0,0.0,1,0
2019-11-12 17:48:01.672223,0.307032999997,0.0,0.0,1,0
2019-11-12 17:48:02.071313,0.706111,0.0,0.0,1,0
2019-11-12 17:48:02.172009,0.806822999999,0.0,0.0,1,0
2019-11-12 17:48:02.571538,1.206333,0.0,0.0,1,0
2019-11-12 17:48:02.672452,1.30725,0.0,0.0,1,0
2019-11-12 17:48:03.071466,1.706276,0.0,0.0,1,0
2019-11-12 17:48:03.172056,1.806847,0.0,0.0,1,0
2019-11-12 17:48:03.571203,2.205998,0.0,0.0,1,0
2019-11-12 17:48:03.672059,2.306854,0.0,0.0,1,0
2019-11-12 17:48:04.071182,2.705975,0.0,0.0,1,0
2019-11-12 17:48:04.171813,2.80661,0.0,0.0,1,0
2019-11-12 17:48:04.571389,3.206193,0.0,0.0,1,0
2019-11-12 17:48:04.671956,3.306744,0.0,0.0,1,0
2019-11-12 17:48:05.071230,3.70603,0.0,0.0,1,0
2019-11-12 17:48:05.172133,3.806938,0.0,0.0,1,0
2019-11-12 17:48:05.571098,4.205884,0.0,0.0,1,0
2019-11-12 17:48:05.671771,4.306569,0.0,0.0,1,0
2019-11-12 17:48:06.071078,4.705863,0.0,0.0,1,0
2019-11-12 17:48:06.171903,4.8067,0.0,0.0,1,0
2019-11-12 17:48:06.571126,5.20593,0.0,0.0,1,0
2019-11-12 17:48:06.671868,5.306681,0.0,0.0,1,0
2019-11-12 17:48:07.070731,5.705493,0.0,0.0,1,0
2019-11-12 17:48:07.171599,5.80639,0.0,0.0,1,0
2019-11-12 17:48:07.430472,6.065263,-0.0,-0.0,0,0
2019-11-12 17:48:07.434274,6.069064,-0.00162711844314,-0.0,0,0
2019-11-12 17:48:07.438256,6.073045,-0.0558858141303,-0.0,0,0
2019-11-12 17:48:07.442336,6.077127,-0.0992863476276,-0.0,0,0
2019-11-12 17:48:07.446274,6.081063,-0.131828710437,-0.0,0,0
2019-11-12 17:48:07.450267,6.085058,-0.186087414622,-0.0,0,0
2019-11-12 17:48:07.454166,6.088957,-0.207803741097,-0.0,0,0
2019-11-12 17:48:07.458045,6.09283,-0.251204282045,-0.0,0,0
2019-11-12 17:48:07.462128,6.096914,-0.283778756857,-0.00162711844314,0,0
2019-11-12 17:48:07.466256,6.101047,-0.348895639181,-0.0233113225549,0,0
2019-11-12 17:48:07.470266,6.105058,-0.392296165228,-0.0558858141303,0,0
2019-11-12 17:48:07.474064,6.108854,-0.479097217321,-0.0884281843901,0,0
2019-11-12 17:48:07.478250,6.11304,-0.587646722794,-0.0884281843901,0,0
2019-11-12 17:48:07.481957,6.11674,-0.663589656353,-0.110144510865,0,0
2019-11-12 17:48:07.485827,6.1206,-0.761281013489,-0.110144510865,0,0
2019-11-12 17:48:07.490072,6.124885,-0.837223887444,-0.0992863476276,0,0
2019-11-12 17:48:07.494000,6.128795,-0.934915244579,-0.0992863476276,0,0
2019-11-12 17:48:07.497876,6.132645,-0.967457652092,-0.0992863476276,0,0
2019-11-12 17:48:07.501866,6.136634,-0.978315770626,-0.0992863476276,0,0
2019-11-12 17:48:07.506122,6.140972,-0.989173948765,-0.0884281843901,0,0
2019-11-12 17:48:07.510005,6.144787,-0.989173948765,-0.0233113225549,0,0
2019-11-12 17:48:07.513909,6.148678,-0.989173948765,-0.0,0,0
2019-11-12 17:48:07.517915,6.152684,-0.978315770626,-0.0,0,0
2019-11-12 17:48:07.522143,6.156935,-0.945741295815,-0.0,0,0
2019-11-12 17:48:07.526178,6.160971,-0.837223887444,-0.0,0,0
2019-11-12 17:48:07.530056,6.164855,-0.739564657211,0.0993184745312,0,0
2019-11-12 17:48:07.534182,6.168971,-0.576788604259,0.348927766085,0,0
2019-11-12 17:48:07.538213,6.173003,-0.392296165228,0.522562026978,0,0
2019-11-12 17:48:07.542197,6.176987,-0.240346118808,0.717880487442,0,0
2019-11-12 17:48:07.546185,6.180994,-0.0992863476276,0.924089252949,0,0
2019-11-12 17:48:07.550089,6.184898,-0.0,1.0,0,0
2019-11-12 17:48:07.554294,6.189087,-0.0,1.0,0,0
2019-11-12 17:48:07.571555,6.206344,-0.0,1.0,1,0
2019-11-12 17:48:07.578172,6.212962,-0.0,1.0,0,0
2019-11-12 17:48:07.582135,6.216934,0.0450597777963,1.0,0,0
2019-11-12 17:48:07.585936,6.220721,0.110176637769,1.0,0,0
2019-11-12 17:48:07.590140,6.224925,0.186119541526,1.0,0,0
2019-11-12 17:48:07.594353,6.229149,0.294669061899,1.0,0,0
2019-11-12 17:48:07.598227,6.233019,0.370611965656,1.0,0,0
2019-11-12 17:48:07.602109,6.236921,0.457445144653,1.0,0,0
2019-11-12 17:48:07.606174,6.240977,0.565962553024,1.0,0,0
2019-11-12 17:48:07.610346,6.245142,0.674479961395,1.0,0,0
2019-11-12 17:48:07.614344,6.249143,0.728738665581,0.97834789753,0,0
2019-11-12 17:48:07.618345,6.253143,0.7938554883,0.924089252949,0,0
2019-11-12 17:48:07.622336,6.257132,0.858972370625,0.858972370625,0,0
2019-11-12 17:48:07.626400,6.261196,0.891514718533,0.804713666439,0,0
2019-11-12 17:48:07.630221,6.265018,0.945773422718,0.750454962254,0,0
2019-11-12 17:48:07.634344,6.269141,0.967489778996,0.674479961395,0,0
2019-11-12 17:48:07.638327,6.273124,0.989206075668,0.587678849697,0,0
2019-11-12 17:48:07.642348,6.277197,1.0,0.522562026978,0,0
2019-11-12 17:48:07.646415,6.281215,1.0,0.370611965656,0,0
2019-11-12 17:48:07.650295,6.285092,1.0,0.24037823081,0,0
2019-11-12 17:48:07.654346,6.289143,1.0,0.0884603112936,0,0
2019-11-12 17:48:07.658317,6.293114,0.989206075668,-0.0,0,0
2019-11-12 17:48:07.662338,6.297136,0.934947371483,-0.0,0,0
2019-11-12 17:48:07.666111,6.300906,0.826397895813,-0.0992863476276,0,0
2019-11-12 17:48:07.670258,6.305056,0.739596784115,-0.370579838753,0,0
2019-11-12 17:48:07.672228,6.307019,0.739596784115,-0.370579838753,1,0
