datetime,second,joy_x,joy_z,tempo,bgm_start,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,tempMPU9250
2019-12-17 10:08:34.684749,0.308095,0.0,0.0,0,0,0.38,0.54,0.79,4.94,17.58,4.21,25.05,9.81,-24.17,34.95
2019-12-17 10:08:34.788586,0.411961999998,0.0,0.0,0,0,0.38,0.60,0.81,11.90,-2.14,6.41,25.20,10.25,-24.02,34.80
2019-12-17 10:08:34.863443,0.486809000002,0.0,0.0,1,0,0.38,0.60,0.81,11.90,-2.14,6.41,25.20,10.25,-24.02,34.80
2019-12-17 10:08:34.901194,0.524553000003,0.0,0.0,0,0,0.41,0.58,0.77,20.14,-9.03,4.70,24.61,9.08,-23.14,34.47
2019-12-17 10:08:34.965582,0.589022,0.0,0.0,1,0,0.41,0.58,0.77,20.14,-9.03,4.70,24.61,9.08,-23.14,34.47
2019-12-17 10:08:35.004782,0.628150999997,0.0,0.0,0,0,0.42,0.58,0.74,16.24,-7.39,-0.98,24.61,8.79,-23.14,34.56
2019-12-17 10:08:35.108536,0.731905000001,0.0,0.0,0,0,0.43,0.64,0.76,29.60,-31.68,19.90,23.44,7.91,-22.27,34.80
2019-12-17 10:08:35.214385,0.838076,0.0,0.0,0,0,0.50,0.54,0.54,22.16,-29.17,16.97,20.51,6.45,-21.39,34.71
2019-12-17 10:08:35.317914,0.941291000003,0.0,0.0,0,0,0.07,-0.22,-0.36,129.33,52.92,-165.95,20.07,4.54,-15.67,34.71
2019-12-17 10:08:35.363296,0.986681000002,0.0,0.0,1,0,0.07,-0.22,-0.36,129.33,52.92,-165.95,20.07,4.54,-15.67,34.71
2019-12-17 10:08:35.428546,1.051918,0.0,0.0,0,0,0.13,2.76,1.64,189.39,94.73,-178.34,43.95,3.22,2.64,34.56
2019-12-17 10:08:35.464216,1.087635,0.0,0.0,1,0,0.13,2.76,1.64,189.39,94.73,-178.34,43.95,3.22,2.64,34.56
2019-12-17 10:08:35.532503,1.15587,0.0,0.0,0,0,0.32,2.03,0.74,46.51,-60.30,275.09,37.06,0.44,8.06,34.61
2019-12-17 10:08:35.636177,1.259537,0.0,0.0,0,0,0.28,0.10,-0.19,-29.36,-36.93,166.08,14.50,-1.61,9.52,34.90
2019-12-17 10:08:35.739760,1.363112,0.0,0.0,0,0,-0.08,0.04,-0.47,2.08,13.67,-262.45,15.97,-1.61,9.52,34.47
2019-12-17 10:08:35.843481,1.466836,0.0,0.0,0,0,1.12,3.02,0.06,-9.16,0.24,-21.48,36.47,0.73,14.21,34.71
2019-12-17 10:08:35.862973,1.486322,0.0,0.0,1,0,1.12,3.02,0.06,-9.16,0.24,-21.48,36.47,0.73,14.21,34.71
2019-12-17 10:08:35.947211,1.570581,0.0,0.0,0,0,0.61,1.44,-0.24,-54.26,4.21,362.92,21.83,-2.20,14.21,34.90
2019-12-17 10:08:35.963367,1.586723,0.0,0.0,1,0,0.61,1.44,-0.24,-54.26,4.21,362.92,21.83,-2.20,14.21,34.90
2019-12-17 10:08:36.050727,1.674074,0.0,0.0,0,0,0.14,-0.25,-0.40,-79.10,33.51,-1.34,5.57,1.17,9.38,34.71
